group,reason_code,count,candidates,candidate_share
V1_ALL,MULTI_TIMEFRAME_CONFLICT,13,81,0.16049382716049382
V1_ALL,WEAK_4H_TREND,5,81,0.06172839506172839
V1_ALL,TIMEFRAME_CONFLICT,4,81,0.04938271604938271
V1_ALL,NEGATIVE_MOMENTUM,4,81,0.04938271604938271
V1_ALL,DAILY_BEARISH_TREND,4,81,0.04938271604938271
V1_ALL,WEAK_1H_TREND,4,81,0.04938271604938271
V1_ALL,LOW_1H_ADX,4,81,0.04938271604938271
V1_ALL,WEAK_TREND_STRENGTH,3,81,0.037037037037037035
V1_ALL,CONFIRMATION_1H_BULLISH_DI,3,81,0.037037037037037035
V1_ALL,SETUP_4H_BULLISH_DI,3,81,0.037037037037037035
V1_ALL,SHORT_COUNTERTREND,3,81,0.037037037037037035
V1_ALL,4H_BEARISH_TREND,3,81,0.037037037037037035
V1_ALL,WEAK_1H_ADX,3,81,0.037037037037037035
V1_ALL,LOW_4H_ADX,3,81,0.037037037037037035
V1_ALL,MULTI_TIMEFRAME_SIGNAL_CONFLICT,3,81,0.037037037037037035
V1_ALL,CONFIRMATION_1H_BEARISH_TREND,3,81,0.037037037037037035
V1_ALL,CONFIRMATION_1H_POSITIVE_SQZMOM,2,81,0.024691358024691357
V1_ALL,CONFIRMATION_1H_NEGATIVE_MOMENTUM,2,81,0.024691358024691357
V1_ALL,SETUP_4H_NEGATIVE_MOMENTUM,2,81,0.024691358024691357
V1_ALL,BEARISH_4H_TREND,2,81,0.024691358024691357
V1_ALL,LONG_COUNTERTREND,2,81,0.024691358024691357
V1_ALL,POSITIVE_MOMENTUM,2,81,0.024691358024691357
V1_ALL,CONFIRMATION_1H_BULLISH,2,81,0.024691358024691357
V1_ALL,WEAK_1H_TREND_STRENGTH,2,81,0.024691358024691357
V1_ALL,1H_BULLISH_DIRECTIONAL_ALIGNMENT,2,81,0.024691358024691357
V1_ALL,4H_BULLISH_DIRECTIONAL_ALIGNMENT,2,81,0.024691358024691357
V1_ALL,POSITIVE_MOMENTUM_1H_4H,2,81,0.024691358024691357
V1_ALL,MIXED_MOMENTUM,2,81,0.024691358024691357
V1_ALL,MULTI_TIMEFRAME_BULLISH_DIRECTIONAL_SIGNALS,2,81,0.024691358024691357
V1_ALL,NEGATIVE_SQZMOM_1H,2,81,0.024691358024691357
V1_ALL,SETUP_4H_BEARISH_TREND,2,81,0.024691358024691357
V1_ALL,MULTI_TIMEFRAME_MOMENTUM_NEGATIVE,2,81,0.024691358024691357
V1_ALL,HIGHER_TIMEFRAME_CONFLICT,2,81,0.024691358024691357
V1_ALL,1H_SQZMOM_POSITIVE,2,81,0.024691358024691357
V1_ALL,HIGHER_TIMEFRAME_BULLISH,2,81,0.024691358024691357
V1_ALL,4H_BULLISH_DIRECTIONAL_STRENGTH,2,81,0.024691358024691357
V1_ALL,COUNTERTREND_SHORT,2,81,0.024691358024691357
V1_ALL,DAILY_TREND_WEAK,2,81,0.024691358024691357
V1_ALL,NEGATIVE_1H_SQZMOM,2,81,0.024691358024691357
V1_ALL,PRICE_BELOW_EMAS,2,81,0.024691358024691357
V1_ALL,BULLISH_1H_DIRECTIONAL_STRENGTH,2,81,0.024691358024691357
V1_ALL,BULLISH_4H_DIRECTIONAL_STRENGTH,2,81,0.024691358024691357
V1_ALL,LOW_TIMEFRAME_BULLISH_ALIGNMENT,1,81,0.012345679012345678
V1_ALL,CONFLICTING_MULTITIMEFRAME_SIGNALS,1,81,0.012345679012345678
V1_ALL,BULLISH_1H_DIRECTIONAL_ALIGNMENT,1,81,0.012345679012345678
V1_ALL,BULLISH_4H_DIRECTIONAL_ALIGNMENT,1,81,0.012345679012345678
V1_ALL,SHORT_COUNTERTREND_CONFLICT,1,81,0.012345679012345678
V1_ALL,SETUP_4H_POSITIVE_SQZMOM,1,81,0.012345679012345678
V1_ALL,DAILY_PLUS_DI_DOMINANT,1,81,0.012345679012345678
V1_ALL,CONFIRMATION_1H_BEARISH_DIRECTIONAL,1,81,0.012345679012345678
V1_ALL,SETUP_4H_BEARISH_DIRECTIONAL,1,81,0.012345679012345678
V1_ALL,BEARISH_1H_TREND,1,81,0.012345679012345678
V1_ALL,BEARISH_1D_TREND,1,81,0.012345679012345678
V1_ALL,BEARISH_DIRECTIONAL_INDICATORS,1,81,0.012345679012345678
V1_ALL,HIGHER_TIMEFRAME_BULLISH_CONFIRMATION,1,81,0.012345679012345678
V1_ALL,CONFIRMATION_1H_EMA10_BELOW_EMA55,1,81,0.012345679012345678
V1_ALL,CONFIRMATION_1H_ADX_BELOW_20,1,81,0.012345679012345678
V1_ALL,CONFIRMATION_1H_SQZMOM_NEGATIVE,1,81,0.012345679012345678
V1_ALL,SETUP_4H_MINUS_DI_ABOVE_PLUS_DI,1,81,0.012345679012345678
V1_ALL,SETUP_4H_SQZMOM_NEGATIVE,1,81,0.012345679012345678
V1_ALL,CONFIRMATION_1H_BEARISH_EMA_ALIGNMENT,1,81,0.012345679012345678
V1_ALL,CONFIRMATION_1H_MINUS_DI_EXCEEDS_PLUS_DI,1,81,0.012345679012345678
V1_ALL,NEGATIVE_SQZMOM_ON_1H_AND_4H,1,81,0.012345679012345678
V1_ALL,SETUP_4H_WEAK_DIRECTIONAL_CONFIRMATION,1,81,0.012345679012345678
V1_ALL,HIGHER_TIMEFRAME_BEARISH_TREND,1,81,0.012345679012345678
V1_ALL,4H_BEARISH_DIRECTIONAL_STRENGTH,1,81,0.012345679012345678
V1_ALL,DAILY_BEARISH_DIRECTIONAL_STRENGTH,1,81,0.012345679012345678
V1_ALL,SETUP_4H_CLOSE_ABOVE_EMA55,1,81,0.012345679012345678
V1_ALL,CONFIRMATION_1H_MIXED_MOMENTUM,1,81,0.012345679012345678
V1_ALL,1H_BULLISH_TREND,1,81,0.012345679012345678
V1_ALL,4H_BULLISH_TREND,1,81,0.012345679012345678
V1_ALL,SHORT_COUNTERTREND_ON_CONFIRMATION_TIMEFRAME,1,81,0.012345679012345678
V1_ALL,HIGHER_TIMEFRAME_BULLISH_DIRECTION,1,81,0.012345679012345678
V1_ALL,CONFLICTING_TIMEFRAME_SIGNALS,1,81,0.012345679012345678
V1_ALL,1H_DIRECTIONAL_CONFLICT,1,81,0.012345679012345678
V1_ALL,1H_POSITIVE_MOMENTUM,1,81,0.012345679012345678
V1_ALL,1H_MINUS_DI_DOMINANT,1,81,0.012345679012345678
V1_ALL,MULTI_TIMEFRAME_ADX_SUPPORT,1,81,0.012345679012345678
V1_ALL,1H_BEARISH_DI_AND_EMA_ALIGNMENT,1,81,0.012345679012345678
V1_ALL,4H_BEARISH_EMA_ALIGNMENT_AND_NEGATIVE_MOMENTUM,1,81,0.012345679012345678
V1_ALL,1D_BEARISH_DI_AND_EMA_ALIGNMENT,1,81,0.012345679012345678
V1_ALL,MULTI_TIMEFRAME_PRICE_BELOW_EMAS,1,81,0.012345679012345678
V1_ALL,AMBIGUOUS_MULTI_TIMEFRAME_ALIGNMENT,1,81,0.012345679012345678
V1_ALL,POSITIVE_4H_SQZMOMENTUM,1,81,0.012345679012345678
V1_ALL,1H_EMA_BULLISH,1,81,0.012345679012345678
V1_ALL,4H_DIRECTIONAL_BULLISH,1,81,0.012345679012345678
V1_ALL,4H_ADX_WEAK,1,81,0.012345679012345678
V1_ALL,CONFIRMATION_1H_MOMENTUM_CONFLICTS_WITH_SHORT,1,81,0.012345679012345678
V1_ALL,MULTI_TIMEFRAME_TREND_ALIGNMENT_AMBIGUOUS,1,81,0.012345679012345678
V1_ALL,4H_BULLISH_DIRECTIONAL_SIGNAL,1,81,0.012345679012345678
V1_ALL,1H_WEAK_TREND,1,81,0.012345679012345678
V1_ALL,4H_BULLISH_MOMENTUM,1,81,0.012345679012345678
V1_ALL,LOWER_TIMEFRAME_BULLISH_DIRECTIONAL_ALIGNMENT,1,81,0.012345679012345678
V1_ALL,DAILY_TREND_CONFLICT,1,81,0.012345679012345678
V1_ALL,MIXED_1H_ALIGNMENT,1,81,0.012345679012345678
V1_ALL,SHORT_DIRECTION_NOT_CONFIRMED,1,81,0.012345679012345678
V1_ALL,BULLISH_DI_DOMINANCE_ON_1H_4H_AND_1D,1,81,0.012345679012345678
V1_ALL,WEAK_TREND_STRENGTH_ON_4H_AND_1D,1,81,0.012345679012345678
V1_ALL,MIXED_MOMENTUM_SIGNALS,1,81,0.012345679012345678
V1_ALL,HIGHER_TIMEFRAME_UPWARD_MOMENTUM,1,81,0.012345679012345678
V1_ALL,DAILY_TREND_NOT_SUPPORTIVE_OF_SHORT,1,81,0.012345679012345678
V1_ALL,DAILY_DIRECTIONAL_INDICATORS_FAVOR_UPSIDE,1,81,0.012345679012345678
V1_ALL,1H_DIRECTIONAL_INDICATORS_NEAR_NEUTRAL,1,81,0.012345679012345678
V1_ALL,4H_EMA_STRUCTURE_BULLISH,1,81,0.012345679012345678
V1_ALL,AMBIGUOUS_SHORT_ALIGNMENT,1,81,0.012345679012345678
V1_ALL,MULTI_TIMEFRAME_BULLISH_DIRECTIONAL_CONFLICT,1,81,0.012345679012345678
V1_ALL,PRICE_ABOVE_SHORT_TERM_EMAS,1,81,0.012345679012345678
V1_ALL,PLUS_DI_EXCEEDS_MINUS_DI,1,81,0.012345679012345678
V1_ALL,POSITIVE_SQZMOMENTUM,1,81,0.012345679012345678
V1_ALL,WEAK_ADX_ON_1H_AND_4H,1,81,0.012345679012345678
V1_ALL,CONFIRMATION_1H_BEARISH_ALIGNMENT,1,81,0.012345679012345678
V1_ALL,NEGATIVE_SQZMOM_4H,1,81,0.012345679012345678
V1_ALL,LONG_CONFLICTS_WITH_LOWER_TIMEFRAME_DIRECTION,1,81,0.012345679012345678
V1_ALL,HIGHER_TIMEFRAME_BEARISH,1,81,0.012345679012345678
V1_ALL,SETUP_4H_MINUS_DI_DOMINANT,1,81,0.012345679012345678
V1_ALL,SETUP_4H_NEGATIVE_SQZMOM,1,81,0.012345679012345678
V1_ALL,TREND_1D_MINUS_DI_DOMINANT,1,81,0.012345679012345678
V1_ALL,CONFIRMATION_1H_NEGATIVE_SQZMOM,1,81,0.012345679012345678
V1_ALL,FOUR_HOUR_BEARISH_TREND,1,81,0.012345679012345678
V1_ALL,ONE_HOUR_BEARISH_DI,1,81,0.012345679012345678
V1_ALL,MULTI_TIMEFRAME_ADX_STRENGTH,1,81,0.012345679012345678
V1_ALL,AMBIGUOUS_1H_CONFIRMATION,1,81,0.012345679012345678
V1_ALL,1H_DIRECTIONAL_CONFIRMATION_INSUFFICIENT,1,81,0.012345679012345678
V1_ALL,SHORT_TERM_DIRECTIONAL_CONFLICT,1,81,0.012345679012345678
V1_ALL,1H_DI_NEUTRAL,1,81,0.012345679012345678
V1_ALL,1H_PLUS_DI_EXCEEDS_MINUS_DI,1,81,0.012345679012345678
V1_ALL,4H_PLUS_DI_EXCEEDS_MINUS_DI,1,81,0.012345679012345678
V1_ALL,POSITIVE_1H_SQZMOM,1,81,0.012345679012345678
V1_ALL,POSITIVE_4H_SQZMOM,1,81,0.012345679012345678
V1_ALL,1D_BEARISH_EMA_ALIGNMENT,1,81,0.012345679012345678
V1_ALL,1D_MINUS_DI_DOMINANT,1,81,0.012345679012345678
V1_ALL,4H_MINUS_DI_DOMINANT,1,81,0.012345679012345678
V1_ALL,1H_STRONG_BEARISH_TREND,1,81,0.012345679012345678
V1_ALL,1H_BEARISH_EMA_ALIGNMENT,1,81,0.012345679012345678
V1_ALL,1H_PLUS_DI_ABOVE_MINUS_DI,1,81,0.012345679012345678
V1_ALL,4H_PLUS_DI_ABOVE_MINUS_DI,1,81,0.012345679012345678
V1_ALL,4H_SQZMOM_POSITIVE,1,81,0.012345679012345678
V1_ALL,DAILY_DI_NEUTRAL,1,81,0.012345679012345678
V1_ALL,MULTI_TIMEFRAME_BULLISH_DI,1,81,0.012345679012345678
V1_ALL,PRICE_ABOVE_EMAS,1,81,0.012345679012345678
V1_ALL,AMBIGUOUS_SHORT_MOMENTUM,1,81,0.012345679012345678
V1_ALL,WEAK_1H_DIRECTIONAL_EDGE,1,81,0.012345679012345678
V1_ALL,1H_DIRECTION_CONFLICT,1,81,0.012345679012345678
V1_ALL,1H_MOMENTUM_CONFLICT,1,81,0.012345679012345678
V1_ALL,1H_BULLISH_TREND_CONFLICT,1,81,0.012345679012345678
V1_ALL,1H_PLUS_DI_DOMINANCE,1,81,0.012345679012345678
V1_ALL,4H_UPWARD_MOMENTUM,1,81,0.012345679012345678
V1_ALL,AMBIGUOUS_CONFIRMATION,1,81,0.012345679012345678
V1_ALL,WEAK_1H_TREND_ADX,1,81,0.012345679012345678
V1_ALL,PRICE_ABOVE_SHORT_TERM_AND_MEDIUM_TERM_EMAS,1,81,0.012345679012345678
V1_ALL,1H_BULLISH_DIRECTIONAL_BIAS,1,81,0.012345679012345678
V1_ALL,DAILY_PLUS_DI_EXCEEDS_MINUS_DI,1,81,0.012345679012345678
