open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore
2025-08-27 12:00:00+00:00,111270.7,111351.7,110958.2,111288.4,2726.53,2025-08-27 12:59:59.999000+00:00,303096482.81380,82047,1224.767,136166302.14750,0
2025-08-27 13:00:00+00:00,111288.5,111845.2,110958.3,111434.3,8263.819,2025-08-27 13:59:59.999000+00:00,920891357.55710,199097,4451.318,496112989.78120,0
2025-08-27 14:00:00+00:00,111434.4,112568.5,111211.1,111758.0,13591.516,2025-08-27 14:59:59.999000+00:00,1522558703.47080,276852,6928.405,776269667.89410,0
2025-08-27 15:00:00+00:00,111757.9,112037.2,111455.7,111965.1,4981.062,2025-08-27 15:59:59.999000+00:00,556760147.61230,141542,2579.358,288354061.58510,0
2025-08-27 16:00:00+00:00,111965.0,112198.8,111489.8,112062.0,4689.676,2025-08-27 16:59:59.999000+00:00,524594748.49610,119032,2320.292,259589234.04480,0
2025-08-27 17:00:00+00:00,112062.0,112400.0,111837.2,112286.2,3643.528,2025-08-27 17:59:59.999000+00:00,408780693.56080,93917,1820.512,204255014.44320,0
2025-08-27 18:00:00+00:00,112286.3,112550.0,111863.0,111890.3,4383.631,2025-08-27 18:59:59.999000+00:00,492191794.87530,96449,2100.462,235865521.85920,0
2025-08-27 19:00:00+00:00,111890.4,112174.0,111502.0,112032.8,5457.712,2025-08-27 19:59:59.999000+00:00,610583942.14950,123886,2967.041,331952604.72940,0
2025-08-27 20:00:00+00:00,112032.9,112368.6,110854.4,112363.1,15454.782,2025-08-27 20:59:59.999000+00:00,1727141812.80270,276938,7574.135,846686795.79610,0
2025-08-27 21:00:00+00:00,112363.2,112401.5,111322.7,111480.7,4561.708,2025-08-27 21:59:59.999000+00:00,510033560.60390,89126,2308.853,258148590.52820,0
2025-08-27 22:00:00+00:00,111480.7,111551.7,111003.3,111355.1,3655.831,2025-08-27 22:59:59.999000+00:00,406764240.96170,95150,1863.346,207332926.16740,0
2025-08-27 23:00:00+00:00,111355.1,111491.2,111039.9,111194.9,2819.147,2025-08-27 23:59:59.999000+00:00,313523704.43700,71145,1253.619,139421093.12410,0
2025-08-28 00:00:00+00:00,111194.9,111493.0,110811.0,111287.0,5038.38,2025-08-28 00:59:59.999000+00:00,559988749.21830,120797,2319.721,257858547.60230,0
2025-08-28 01:00:00+00:00,111286.9,111674.5,111282.7,111600.1,2555.111,2025-08-28 01:59:59.999000+00:00,284884091.29580,72184,1428.807,159310209.50670,0
